LocationName,Address,City,State,Zip,Description,Website,Phone,hours,addresses,lon,lat
Kimball Fruit Farm,184 Hollis Street,Pepperell,MA,1463,We operate and specialize in pick-your-own apples strawberries fall & summer raspberries peaches and grow a variety of vegetable production.  Come join us and bring a picnic.  Also specialize in Heirloom tomatoes. Open daily 9:00 am - 7:00 pm June to Thanksgiving.,www.KimballFruitFarm.com,(978) 433-9751,Daily 9 a.m.-7 p.m.,"184 Hollis Street, Pepperell, MA",-71.58962,42.7021609
Lanni Orchards,294 Chase Road Rt. 13,Lunenburg,MA,1462,Great Pick-Your-Own experience for everyone. Offer a nice selection of our own grown fruits and vegetables (when season allows). Farmstand open year round which includes our crops along with locally produced baked goods meats cheese honey maple syrup fudge and other products. In season offer PYO strawberries raspberries blueberries apples and pumpkins.,www.Lanniorchards.com,(978) 582-6246,Daily 8 a.m.-6 p.m.,"294 Chase Road Rt. 13, Lunenburg, MA",-71.747362,42.6066862
Nashoba Valley Winery and Orchard,100 Wattaquadoc Hill Road,Bolton,MA,1740,Nashoba Valley Winery is a stunning hilltop orchard overlooking the charming town of Bolton.  The family-owned orchard winery & restaurant set on 52 rolling acres boasts a state-of-the art wine-making and distillation facility an exceptional wine and gift shoppe a brewery and a gourmet restaurant.,www.Nashobawinery.com,(978) 779-5521,Daily 11 a.m-4 p.m.,"100 Wattaquadoc Hill Road, Bolton, MA",-71.6162721,42.4301614
Parlee Farms,95 Farwell Road,Tyngsborough,MA,1879,93 acre farm with PYO strawberries blueberries cherries peaches cut flowers apples and pumpkins.  Farmstand offers our own fresh picked fruit our own corn bakery items apple cider donuts kettle corn first quality local vegetables jams local raw honey from our beekeeper and more.  Mary's Country Kitchen offers ice cream and fresh fruit desserts.,www.Parleefarms.com,(978) 649-3854,"Tues.—Fri. 11 a.m.-4 p.m., Sat.-Sun. 10 a.m.-5 pm.","95 Farwell Road, Tyngsborough, MA",-71.4252709,42.6913386
Red Apple Farm,455 Highland Avenue,Phillipston,MA,1331,Fourth generation New England family farm. PYO apples (48 varieties) peaches pears pumpkins blueberries raspberries and potatoes. Hayrides weekend BBQ's farm animals hiking trails and picnic pavilion. Fresh cider baked goods cider donuts and homemade fudge.,www.Redapplefarm.com,(800) 628-4851,Daily 9 a.m.-6 p.m,"455 Highland Avenue, Phillipston, MA",-72.14673,42.581829
Russell  Orchards & Winery,143 Argilla Road,Ipswich,MA,1938,Fully licensed bonded winery of special fruit wines.  Farm stand in 18th century barn with cider mill.  Fall hayrides through farm. Apple operation tours for children. Picnic areas farm animals playgrounds and beautiful country farm with PYO apples strawberries raspberries and blueberries. We offer 25 fruit wine and hard cider varietals.,www.RussellOrchards.com,(978) 356-5366,Daily 9 a.m.-5 p.m.,"143 Argilla Road, Ipswich, MA",-70.8030662,42.6616765
Shelburne Farm,106 West Acton Road,Stow,MA,1775,Pick-Your-Own apples peaches and pumpkin operation and homemade jams and jellies. Come visit our Country Store and bring a picnic. Children can pick apples from our miniature trees. Birthday parties company picnics. Moon Bounce Pedal Tractors Hay Maze Pony Rides Farm Animals NEW!! Hay Climbing Mountain.,www.Shelburnefarm.com,(978) 897-9287,Daily 9 a.m.-6 p.m.,"106 West Acton Road, Stow, MA",-71.5005746,42.4462779
Sholan Farms,1125 Pleasant St.,Leominster,MA,1453,Picturesque farm located high on hill overlooking Boston. Offer PYO apples & raspberries & blueberries farmstand with seasonal produce and pumpkins group tours wagon rides hiking trails and many festivals. Last PYO orchard in Johnny Appleseed's hometown.,www.Sholanfarms.com,(978) 840-3276,Daily 10 a.m.-5 p.m.,"1125 Pleasant St., Leominster, MA",-71.7768244,42.4873485
Smolak Farms,315 South Bradford Street,North Andover,MA,1845,300 year old 155-acre farm PYO fruit choose & cut Christmas trees bakery vegetable production function areas educational kids' birthday & night hayrides festivals kids' crafts summer program. PYO strawberries cherries raspberries peaches plums apples pumpkins heirloom tomatoes and Christmas trees. Hay rides in the Fall.,www.Smolakfarms.com,(978) 682-6332,Daily 8 a.m.-4:30 p.m.,"315 South Bradford Street, North Andover, MA",-71.074677,42.6902773
Tougas Family Farm,234 Ball Street,Northborough,MA,1532,PYO fruits school field trips farm kitchen/bakery ice cream farm tours wagon rides on autumn weekends and holidays.,www.Tougasfarm.com,(508) 393-6406,Tues.-Sun. 10 a.m.-5 p.m.,"234 Ball Street, Northborough, MA",-71.6794885,42.3453829
Westward Orchards,Massachusetts Ave. (Rt. 111),Harvard,MA,1451,Fourth generation family farm growing a variety of apples peaches pears nectarines plums and vegetables. Farm store offers an assortment of Westward Orchards grown produce as well as made to order sandwiches hearty soups and delicious baked goodsÅ â_including our own apple cider donuts made daily.,www.Westwardorchards.com,(978) 456-8363,"Daily, except Tues., 9 a.m.-4 p.m.","Massachusetts Ave. (Rt. 111), Harvard, MA",-71.5704737,42.4912098
